Z,A,BE
0,1,0
1,1,0
1,2,2.224566
1,3,8.481798
2,3,7.718043
3,3,-6.801
1,4,5.601404
2,4,28.29566
3,4,4.615044
1,5,6.6818
2,5,27.40566
3,5,26.33066
4,5,-0.77
1,6,5.781798
2,6,29.268102
3,6,31.99407
4,6,26.923572
5,6,0.912
1,7,6.58
2,7,28.83349
3,7,39.244037
4,7,37.5998
5,7,24.719142
2,8,31.4078
3,8,41.276656
4,8,56.49948
5,8,37.737312
6,8,24.7824
2,9,30.137733
3,9,45.340551
4,9,58.164822
5,9,56.31444
6,9,39.037284
2,10,30.33927
3,10,45.31555
4,10,64.97711
5,10,64.75071
6,10,60.32041
7,10,36.4366
3,11,45.640144
4,11,65.481042
5,11,76.204821
6,11,73.44007
7,11,59.004495
3,12,44.412
4,12,68.649912
5,12,79.575168
6,12,92.161728
7,12,74.041296
8,12,58.54908
4,13,68.54991
5,13,84.453226
6,13,97.108037
7,13,94.105219
8,13,75.555922
4,14,69.914558
5,14,85.42303
6,14,105.284466
7,14,104.658596
8,14,98.732312
9,14,73.304
4,15,68.145
5,15,88.18575
6,15,106.502535
7,15,115.491885
8,15,111.95538
9,15,97.253265
4,16,68.336
5,16,88.147648
6,16,110.752864
7,16,117.980992
8,16,127.619296
9,16,111.419696
10,16,97.321152
5,17,89.529837
6,17,111.479472
7,17,123.864601
8,17,131.762427
9,17,128.219576
10,17,112.928025
5,18,89.046
6,18,115.663446
7,18,126.69282
8,18,139.80645
9,18,137.36889
10,18,132.143076
11,18,112.487922
5,19,90.079
6,19,116.240271
7,19,132.016465
8,19,143.761391
9,19,147.801285
10,19,143.780125
11,19,131.822399
12,19,110.926769
6,20,119.17466
7,20,134.1848
8,20,151.3701
9,20,154.40262
10,20,160.6448
11,20,145.97282
12,20,134.46784
6,21,118.839
7,21,138.770079
8,21,155.175972
9,21,162.50409
10,21,167.405973
11,21,163.076004
12,21,149.198994
13,21,133.203
6,22,119.592
7,22,140.05387
8,22,162.026062
9,22,167.734468
10,22,177.77023
11,22,174.145598
12,22,168.577772
13,22,149.226
14,22,134.442
7,23,141.772
8,23,164.76855
9,23,175.26943
10,23,182.970865
11,23,186.564339
12,23,181.725898
13,23,168.700216
14,23,150.926
7,24,140.688
8,24,168.38244
9,24,179.110968
10,24,191.839656
11,24,193.523904
12,24,198.257016
13,24,183.598056
14,24,172.004088
15,24,149.976
7,25,139.8
8,25,168.075
9,25,183.4691
10,25,196.067525
11,25,202.534925
