Z,N,BE
0,1,0
1,0,0
1,1,2.224566
1,2,8.481798
2,1,7.718043
3,0,-6.801
1,3,5.601404
2,2,28.29566
3,1,4.615044
1,4,6.6818
2,3,27.40566
3,2,26.33066
4,1,-0.77
1,5,5.781798
2,4,29.268102
3,3,31.99407
4,2,26.923572
5,1,0.912
1,6,6.58
2,5,28.83349
3,4,39.244037
4,3,37.5998
5,2,24.719142
2,6,31.4078
3,5,41.276656
4,4,56.49948
5,3,37.737312
6,2,24.7824
2,7,30.137733
3,6,45.340551
4,5,58.164822
5,4,56.31444
6,3,39.037284
2,8,30.33927
3,7,45.31555
4,6,64.97711
5,5,64.75071
6,4,60.32041
7,3,36.4366
3,8,45.640144
4,7,65.481042
5,6,76.204821
6,5,73.44007
7,4,59.004495
3,9,44.412
4,8,68.649912
5,7,79.575168
6,6,92.161728
7,5,74.041296
8,4,58.54908
4,9,68.54991
5,8,84.453226
6,7,97.108037
7,6,94.105219
8,5,75.555922
4,10,69.914558
5,9,85.42303
6,8,105.284466
7,7,104.658596
8,6,98.732312
9,5,73.304
4,11,68.145
5,10,88.18575
6,9,106.502535
7,8,115.491885
8,7,111.95538
9,6,97.253265
4,12,68.336
5,11,88.147648
6,10,110.752864
7,9,117.980992
8,8,127.619296
9,7,111.419696
10,6,97.321152
5,12,89.529837
6,11,111.479472
7,10,123.864601
8,9,131.762427
9,8,128.219576
10,7,112.928025
5,13,89.046
6,12,115.663446
7,11,126.69282
8,10,139.80645
9,9,137.36889
10,8,132.143076
11,7,112.487922
5,14,90.079
6,13,116.240271
7,12,132.016465
8,11,143.761391
9,10,147.801285
10,9,143.780125
11,8,131.822399
12,7,110.926769
6,14,119.17466
7,13,134.1848
8,12,151.3701
9,11,154.40262
10,10,160.6448
11,9,145.97282
12,8,134.46784
6,15,118.839
7,14,138.770079
8,13,155.175972
9,12,162.50409
10,11,167.405973
11,10,163.076004
12,9,149.198994
13,8,133.203
6,16,119.592
7,15,140.05387
8,14,162.026062
9,13,167.734468
10,12,177.77023
11,11,174.145598
12,10,168.577772
13,9,149.226
14,8,134.442
7,16,141.772
8,15,164.76855
9,14,175.26943
10,13,182.970865
11,12,186.564339
12,11,181.725898
13,10,168.700216
14,9,150.926
7,17,140.688
8,16,168.38244
9,15,179.110968
10,14,191.839656
11,13,193.523904
12,12,198.257016
13,11,183.598056
14,10,172.004088
15,9,149.976
7,18,139.8
8,17,168.075
9,16,183.4691
10,15,196.067525
11,14,202.534925
12,13,205.5876
13,12,200.5286
14,11,187.00575
15,10,171.175
8,18,167.882
9,17,184.541344
10,16,201.601166
11,15,208.11076
12,14,216.680672
13,13,211.894046
14,12,206.046022
15,11,187.148
16,10,171.366
8,19,166.725
9,18,185.957586
10,17,203.032143
11,16,214.837191
12,15,223.124058
13,14,224.951715
14,13,219.357018
15,12,206.907399
16,11,187.866
8,20,165.9
9,19,185.724
10,18,206.92882
11,17,218.380316
12,16,231.627368
13,15,232.676808
14,14,236.536832
15,13,221.420444
16,12,209.40612
17,11,186.144
9,20,186.731
10,19,208.186853
11,18,222.797372
12,17,235.299069
13,16,242.113025
14,15,245.010386
15,14,239.285612
16,13,224.710241
17,12,207.611
9,21,186.18
10,20,211.21401
11,19,225.17262
12,18,241.66203
13,17,247.84143
14,16,255.61959
15,15,250.60488
16,14,243.68451
17,13,224.4
18,12,207.96
9,22,186.868
10,21,211.544
11,20,228.950252
12,19,244.04006
13,18,254.993941
14,17,262.20699
15,16,262.916518
16,15,256.737939
17,14,243.978091
18,13,224.843
10,22,213.184
11,21,230.611872
12,20,249.848768
13,19,259.1736
14,18,271.410208
15,17,270.85216
16,16,271.780288
17,15,258.312032
18,14,246.400096
19,13,223.008
10,23,212.52
11,22,232.858362
12,21,252.071226
13,20,264.712338
14,19,275.893266
15,18,280.955763
16,17,280.421922
17,16,274.057014
18,15,261.65535
19,14,244.728
10,24,213.486
11,23,233.07
12,22,256.228012
13,21,267.186756
14,20,283.428692
15,19,287.247266
16,18,291.839034
17,17,285.564674
18,16,278.71976
19,15,261.052
20,14,245.616
11,24,234.325
12,23,256.97
13,22,272.455785
14,21,285.903555
15,20,295.618645
16,19,298.824925
17,18,298.20973
18,17,291.461275
19,16,278.80041
20,15,262.255
11,25,234
12,24,259.74
13,23,274.614948
14,22,292.097052
15,21,299.083176
16,20,308.713932
17,19,306.789372
18,18,306.716724
19,17,293.128992
20,16,281.359836
21,15,260.244
11,26,234.765
12,25,259.999
13,24,278.521903
14,23,294.265884
15,22,305.897685
16,21,313.017558
17,20,317.10036
18,19,315.504143
19,18,308.574339
20,17,296.15355
21,16,279.35
12,26,262.314
13,25,280.488944
14,24,299.824484
15,23,309.73268
16,22,321.053716
17,21,323.20824
18,20,327.342374
19,19,320.646166
