Z,N,BE
0,1,0
1,0,0
4,1,0.09
1,1,2.224566
3,1,4.61504
1,5,5.769834
1,6,6.58
1,4,6.681795
1,3,6.881796
2,1,7.71804
1,2,8.481795
6,2,24.812192
5,2,24.910935
3,2,26.33066
4,2,26.923482
2,3,27.56066
2,2,28.29566
2,5,28.861399
2,4,29.271114
2,8,29.95134
2,7,30.141333
2,6,31.39616
3,3,31.993986
7,3,36.43672
4,3,37.600836
5,3,37.73724
6,3,39.036807
3,4,39.245073
3,5,41.277696
3,7,45.31351
3,6,45.339912
3,9,45.4992
3,10,45.59919
3,8,45.709191
5,4,56.31363
4,4,56.49948
4,5,58.164012
8,4,58.682424
7,4,59.004506
6,4,60.32042
5,5,64.75083
4,6,64.9763
4,7,65.47794
4,11,68.11455
4,9,68.138655
4,12,68.56456
4,8,68.648664
4,10,69.914558
10,5,73.03092
6,5,73.441016
9,5,73.992912
7,5,74.041308
8,5,75.552919
5,6,76.205052
5,7,79.574676
5,8,84.453447
5,9,85.423016
5,11,88.116832
5,10,88.199775
5,16,88.263
5,15,89.06
5,13,89.57934
5,12,89.584339
5,14,89.673046
6,6,92.161728
11,6,93.43336
7,6,94.105219
6,7,97.108037
10,6,97.330832
9,6,97.461885
8,6,98.731892
7,7,104.658596
6,8,105.284466
6,9,106.502535
6,10,110.752864
9,7,111.419696
6,11,111.486408
11,7,111.639906
8,7,111.95538
12,7,112.138475
10,7,112.888483
7,8,115.4919
6,12,115.670358
6,13,116.247187
6,17,116.771
7,9,117.980736
6,15,119.154
6,14,119.2287
6,16,119.263694
7,10,123.865893
7,11,126.694116
8,8,127.619296
9,8,128.219576
8,9,131.762376
11,8,131.819815
7,12,132.022317
10,8,132.142626
13,8,132.342
14,8,133.276
7,13,134.18342
12,8,134.5605
9,9,137.369484
7,14,138.789315
8,10,139.807746
7,18,140.325
7,15,140.327748
7,17,141.288
7,16,143.443433
8,11,143.763405
10,9,143.779517
11,9,145.96992
9,10,147.801342
15,9,148.656
13,9,149.204
12,9,149.205651
14,9,150.995
8,12,151.3714
9,11,154.40268
8,13,155.176854
10,10,160.6448
8,14,162.027162
9,12,162.504153
11,10,163.076487
8,15,164.760155
8,19,166.995
10,11,167.405973
8,20,167.664
9,13,167.73449
8,17,168.195125
12,10,168.580742
13,10,168.721721
8,18,168.934428
8,16,168.95244
16,10,170.248
15,10,170.3
14,10,172.013568
11,11,174.144674
9,14,175.313912
10,12,177.77023
9,15,179.125968
12,11,181.725645
10,13,182.970888
9,16,183.40765
13,11,183.589968
9,17,184.16424
17,11,185.192
9,19,185.214176
9,18,185.434164
11,12,186.564339
9,20,186.876899
9,21,186.99
14,11,187.00275
9,22,187.023
15,11,187.148
16,11,188.379
10,14,191.8398
11,13,193.523712
10,15,195.994975
12,12,198.257016
13,12,200.5284
10,16,201.54966
11,14,202.534925
10,17,203.051178
12,13,205.58755
14,12,206.042408
10,18,206.873688
15,12,206.912826
18,12,207.12612
17,12,207.606128
10,19,207.844943
11,15,208.109226
16,12,209.40612
10,20,211.03593
10,21,211.20579
13,13,211.89389
10,23,212.52
10,22,213.472
10,24,213.758
11,16,214.837542
12,14,216.68062
11,17,218.379392
14,13,219.357207
15,13,221.409412
19,13,222.304
11,18,222.782379
12,15,223.124004
17,13,224.4
16,13,224.70708
18,13,224.812
13,14,224.951931
11,19,225.05904
11,20,229.358987
11,21,231.036192
12,16,231.627564
13,15,232.677032
11,22,233.967558
11,23,234.138858
12,17,235.282858
11,24,235.655
11,25,235.656
11,26,236.504
14,14,236.536832
15,14,239.285844
12,18,241.63518
13,16,242.105456
16,14,243.68121
12,19,243.944828
17,14,243.945479
19,14,244.431
20,14,244.936
14,15,245.010415
18,14,246.400256
13,17,247.83384
12,20,249.72288
15,15,250.60518
12,21,252.003015
13,18,254.991027
14,16,255.61962
12,22,256.71326
16,15,256.7358
12,23,257.468155
17,15,258.316928
21,15,258.804
13,19,259.211008
19,15,260.78
12,24,260.799084
12,25,261.039107
18,15,261.655515
20,15,262.045
14,17,262.207021
15,16,262.916177
12,27,263.133
12,26,263.264
13,20,264.680328
12,28,265.12
13,21,267.254552
15,17,270.85184
14,18,271.406976
16,16,271.780128
13,22,272.54934
17,16,274.056915
13,23,274.44654
14,19,275.914947
22,16,278.616
13,24,278.658655
21,16,278.684
18,16,278.720848
19,16,278.8044
13,25,280.329686
16,17,280.42179
15,18,280.955598
20,16,281.371644
14,20,283.428794
13,26,283.959
13,27,285.08
17,17,285.56498
14,21,285.934705
15,19,287.23829
13,28,287.328
13,29,288.708
13,30,289.863
18,17,291.461135
16,18,291.838932
14,22,292.050684
23,17,292.68
19,17,293.119884
14,23,294.257411
21,17,294.538
22,17,295.386
15,20,295.618715
20,17,296.127872
17,18,298.20973
16,19,298.82475
